"Keybind"	"Action"
"Alt + Shift + x"	"Logout"
"Alt + Shift + z"	"Leave"
"Alt + F1"	"Main Menu"
"Alt + F2"	"Runner"
"Alt + Shift + d"	"Rofi Show Drun"
"Alt + Shift + r"	"Rofi Show Run"
"Alt + Shift + w"	"Rofi Show Window"
"Alt + Shift + f"	"Launch File Manager (dolphin)"
"Alt + Shift + g"	"Launch File Manager (pcmanfm-qt)"
"Alt + Shift + e"	"Launch Text Editor (kate)"
"Alt + Shift + b"	"Launch Web Browser (firefox)"
"Alt + Shift + s"	"Launch System Setting (systemsettings)"
"Alt + Enter"	"Launch Terminal (konsole)"
"Alt + Shift + a"	"Launch Terminal (konsole)"
"Alt + Ctrl + a"	"Launch Terminal (sakura)"
"Alt + Shift + t"	"Launch Terminal (konsole)"
"Alt + Ctrl + t"	"Launch Terminal (sakura)"
"Alt + Ctrl + y"	"Launch DropDown Terminal (yakuake)"
"Win + q"	"Window Close"
"Win + f"	"Window Fullscreen"
"Win + w"	"Window Maximize"
"Win + x"	"Window Minimize"
"Win + d"	"Toggle Show Desktop"
"Win + e"	"Window Begin Move"
"Win + r"	"Window Begin Resize"
"Win + t"	"Window Always on Top"
"Win + b"	"Window Always on Bottom"
"Win + y"	"Window Toggle Shade"
"Win + n"	"Window Toggle Show or Hide Decoration"
"Win + z"	"Window Toggle Raise or Lower"
"Win + m"	"Window Move Center"
"Win + ;"	"Window Decrease Opacity"
"Win + '"	"Window Increase Opacity"
"Win + Esc"	"Window Switch Previous"
"Alt + Esc"	"Window Switch Next"
"Win + grave"	"Overview (Workspace List)"
"Win + Tab"	"Expose (Window List)"
"Win + Mouse Left Drag"	"Window Move"
"Win + Mouse Right Drag"	"Window Resize"
"Win + a"	"Window Switch Previous"
"Win + s"	"Window Switch Next"
"Alt + a"	"Workspace Switch Previous"
"Alt + s"	"Workspace Switch Next"
"Alt + Ctrl + 1-9"	"Workspace Switch to 1-9"
"Alt + Shift + 1-9"	"Window Send to 1-9"
"Print"	"Screenshot"
"Win + Print"	"Screenshot Current Window"
"Ctrl + Print"	"Screenshot Selected Area"
"Fn + F5 (XF86MonBrightnessDown)"	"Brightness Decrease"
"Fn + F6 (XF86MonBrightnessUp)"	"Brightness Increase"
"Alt + Shift + ["	"Brightness Decrease"
"Alt + Shift + ]"	"Brightness Increase"
"Alt + Shift + v"	"Launch Volume Control (pavucontrol)"
"Fn + F10 (XF86AudioMute)"	"Volume Toggle Mute"
"Fn + F11 (XF86AudioLowerVolume)"	"Volume Decrease"
"Fn + F12 (XF86AudioRaiseVolume)"	"Volume Increase"
"Alt + m"	"Volume Toggle Mute"
"Alt + Shift + ,"	"Volume Decrease"
"Alt + Shift + ."	"Volume Increase"
"Alt + Ctrl + ,"	"Volume Decrease Slowly"
"Alt + Ctrl + ."	"Volume Increase Slowly"
